Subject,type,alpha,side,sigma
gazrkiisx1dztglmbxx3mm03.,1,10.0,9.229233082231543e-07,0.2856938361704596
gazrkiisx1dztglmbxx3mm03.,2,10.0,-0.3191517720454508,0.31764759434725814
gazrkiisx1dztglmbxx3mm03.,3,1.234840040697885,-0.9006827397073882,0.38038692652931655
gazrkiisx1dztglmbxx3mm03.,4,-0.092898732706353,-0.10103587910514104,0.315745544161278
ggu9mpow2kj9dvkrrfx1rhzi.,1,10.0,-1.7763568394002505e-07,1.000000082740371e-09
ggu9mpow2kj9dvkrrfx1rhzi.,2,10.0,-0.22911444744674134,0.011019370231732715
ggu9mpow2kj9dvkrrfx1rhzi.,3,-0.3572611533790964,0.19565413413760355,0.2343006920228802
ggu9mpow2kj9dvkrrfx1rhzi.,4,-0.25340109830209867,-0.1465510071921396,0.2022379782819906
gh7hi15ar4c156kg8nhch44s.,1,10.0,0.17145918797015328,0.1655418127715783
gh7hi15ar4c156kg8nhch44s.,2,10.0,-4.318860095689799,21.51362409385434
gh7hi15ar4c156kg8nhch44s.,3,-1.7187100237234427,-0.2925698477315996,0.8483768236553398
gh7hi15ar4c156kg8nhch44s.,4,-20.0,10.0,12.907049371997994
gj0hifjpaxenxu53xcjr7r77.,1,10.0,0.45822879508838416,0.010640096271975848
gj0hifjpaxenxu53xcjr7r77.,2,10.0,0.44226193320380647,0.8304198597587416
gj0hifjpaxenxu53xcjr7r77.,3,0.46126390368405124,-0.2293166000351979,0.20962664515425775
gj0hifjpaxenxu53xcjr7r77.,4,-0.19402845036430305,-0.26585007933442956,0.14391688646833697
gq8icyq41unwp4gudfk87tac.,1,10.0,-0.22911471630741104,0.011144364912444261
gq8icyq41unwp4gudfk87tac.,2,10.0,-0.3262858468133026,0.1426244492904048
gq8icyq41unwp4gudfk87tac.,3,-2.091215437998353,3.1127970708982273,4.829483664263146
gq8icyq41unwp4gudfk87tac.,4,0.2669996872131346,0.003581727641197358,0.13977797748631257
gtouraixqbp4l3z0ffs8qj7e.,1,10.0,-2.7219555083295423e-06,0.32893914245323475
gtouraixqbp4l3z0ffs8qj7e.,2,10.0,-0.2291144705210119,0.011257741687053052
gtouraixqbp4l3z0ffs8qj7e.,3,0.9325064356515409,-0.6705207251889854,0.7595276089838476
gtouraixqbp4l3z0ffs8qj7e.,4,0.1916484985455074,0.08305223146598463,0.557735117118239
gx6a2ucc31wv12kflrog1zr4.,1,10.0,-9.437010808434333e-07,0.2407924761117638
gx6a2ucc31wv12kflrog1zr4.,2,10.0,-0.1594947789601358,0.315071183986547
gx6a2ucc31wv12kflrog1zr4.,3,-1.1282776059037662,2.1030440039421716,2.1398733004888233
gx6a2ucc31wv12kflrog1zr4.,4,0.6409851203694908,-0.1860243467902762,0.5411245565749733
hbxh732mhsidc8thgdvcq9yq.,1,10.0,-0.16097922846911036,0.2216563822459148
hbxh732mhsidc8thgdvcq9yq.,2,10.0,6.322784878940317e-08,0.6111707815524517
hbxh732mhsidc8thgdvcq9yq.,3,0.2741900711751035,-0.1286315921110425,0.300924505365503
hbxh732mhsidc8thgdvcq9yq.,4,-20.0,0.45823120924736593,0.03251221797255105
hsh4tg80zhn7j0dcc9uudluo.,1,10.0,-0.15949477689473301,0.3150711881535707
hsh4tg80zhn7j0dcc9uudluo.,2,10.0,-0.4243480252181724,0.7711304939785585
hsh4tg80zhn7j0dcc9uudluo.,3,0.17362716205673334,-0.4232271992417006,0.25367429244298323
hsh4tg80zhn7j0dcc9uudluo.,4,-5.090087480145612,2.0308665484185355,3.6701312325769453
idgddv7w9c7z6fup77kwv1rs.,1,10.0,-0.22911435596336566,0.010849939004726868
idgddv7w9c7z6fup77kwv1rs.,2,10.0,-0.3253956991151822,0.3634110455522653
idgddv7w9c7z6fup77kwv1rs.,3,2.1179540850353114,-1.1412431235426503,0.5058032509497459
idgddv7w9c7z6fup77kwv1rs.,4,5.783975846935082,-1.9991070982784263,4.037786191874868
ijq9c88uvlutsgpv06xf013b.,1,10.0,-0.2291144813288656,0.010856761551145235
ijq9c88uvlutsgpv06xf013b.,2,10.0,0.326285834356731,0.14262447550768084
ijq9c88uvlutsgpv06xf013b.,3,0.23045588783097767,-0.44541770184246054,0.4488462871777023
ijq9c88uvlutsgpv06xf013b.,4,0.13243847823695806,-0.406840125145356,0.1401067691486305
inruxr1qd5qmpvl3wg310m1w.,1,10.0,0.1690589176014485,0.44415193610928966
inruxr1qd5qmpvl3wg310m1w.,2,10.0,0.3514451829867524,0.4967969043842639
inruxr1qd5qmpvl3wg310m1w.,3,0.645075994690113,1.3011899592600613e-07,0.3104644333950274
inruxr1qd5qmpvl3wg310m1w.,4,-1.1269261646275641,0.3678904303760169,0.5658535620102518
jimfaej7pd9wwo0dfhrfenkd.,1,10.0,0.32539568247083883,0.36341104480025627
jimfaej7pd9wwo0dfhrfenkd.,2,10.0,-7.088027630151735e-07,0.32893915113613986
jimfaej7pd9wwo0dfhrfenkd.,3,1.4646074638397846,-0.2580582512437029,0.7983882936037728
jimfaej7pd9wwo0dfhrfenkd.,4,0.6939354575582027,-0.23570651172246188,0.011941684853995082
ki2klr0u1w81k7tx85w2c87f.,1,10.0,-0.5205323937709851,0.4592048185774182
ki2klr0u1w81k7tx85w2c87f.,2,10.0,-0.21588507217717745,0.8075296861933476
ki2klr0u1w81k7tx85w2c87f.,3,0.7882673914267911,-0.2429246847628068,0.3181773162752912
ki2klr0u1w81k7tx85w2c87f.,4,0.37687923104908366,-0.7653917875229105,0.2485865755467133
l5fq59qp9rxxbg5v92n4uioy.,1,10.0,0.3152364051151952,0.21446357772675095
l5fq59qp9rxxbg5v92n4uioy.,2,10.0,-0.3253957029113909,0.3634110370102657
l5fq59qp9rxxbg5v92n4uioy.,3,0.47204298407671574,-0.26714431273253314,0.5852208190837801
l5fq59qp9rxxbg5v92n4uioy.,4,0.9595322809185739,-1.0383717747583874,0.4369887203073684
